FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140422;0000;82,5833;;;
140423;0000;77,1666;;;
140424;0000;130;;;
140425;0000;130,292;;;
140426;0000;53,2083;;;
140427;0000;51,7916;;;
140428;0000;51,125;;;
140429;0000;57,2083;;;
140430;0000;48,913;;;
140501;0000;81,5833;;;
140502;0000;101,083;;;
140503;0000;69,8333;;;
140504;0000;70;;;
140505;0000;56,5416;;;
140506;0000;121,21;;;
140507;0000;;;63,25;
140508;0000;200,091;;;
140509;0000;69,75;;;
140510;0000;94,9583;;;
140511;0000;73,9583;;;
140512;0000;66,0833;;;
140513;0000;68,5416;;;
140514;0000;128,042;;;
140515;0000;167,083;;;
140516;0000;80,5833;;;
140517;0000;104,458;;;
140518;0000;42,9166;;;
140519;0000;84,25;;;
140520;0000;141,083;;;
140521;0000;184,375;;;
140522;0000;165,417;;;
140523;0000;47,1666;;;
140524;0000;89,3333;;;
140525;0000;40,0416;;;
140526;0000;36,5;;;
140527;0000;102,042;;;
140528;0000;195,542;;;
140529;0000;62,5;;;
140530;0000;112,167;;;
140531;0000;161,417;;;
140601;0000;90,4166;;;
140602;0000;154,75;;;
140603;0000;155,125;;;
140604;0000;257,292;;;
140605;0000;157,25;;;
140606;0000;124,042;;;
140607;0000;140,542;;;
140608;0000;103,458;;;
140609;0000;111,583;;;
140610;0000;137,652;;;
140611;0000;116;;;
140612;0000;91,2083;;;
140613;0000;121,167;;;
140614;0000;122,708;;;
140615;0000;59,4583;;;
140616;0000;181,526;;;
140617;0000;;;945;
140618;0000;;;442,958;
140619;0000;;;0;
140620;0000;;;0;
140621;0000;;;;
140622;0000;;;;
140623;0000;;;;
140624;0000;40,3333;;;
140625;0000;62,2083;;;
140626;0000;41,375;;;
140627;0000;32,7916;;;
140628;0000;59,625;;;
140629;0000;78,2083;;;
140630;0000;120,125;;;
140701;0000;188,792;;;
140702;0000;64,125;;;
140703;0000;49,25;;;
140704;0000;112,042;;;
140705;0000;156,167;;;
140706;0000;48,2083;;;
140707;0000;62,5833;;;
140708;0000;57,8333;;;
140709;0000;45,0833;;;
140710;0000;31,4583;;;
140711;0000;62,5416;;;
140712;0000;43,8333;;;
140713;0000;46,4166;;;
140714;0000;57,625;;;
140715;0000;87,875;;;
140716;0000;76,1666;;;
140717;0000;56,9583;;;
140718;0000;82,3333;;;
140719;0000;118,042;;;
140720;0000;141,333;;;
140721;0000;153,167;;;
140722;0000;242,75;;;
140723;0000;155,333;;;
140724;0000;120,708;;;
140725;0000;121,696;;;
140726;0000;172,333;;;
140727;0000;212,5;;;
140728;0000;132,956;;;
140729;0000;161,917;;;
140730;0000;132,125;;;
140731;0000;123,083;;;
140801;0000;188,792;;;
140802;0000;64,125;;;
140803;0000;49,25;;;
140804;0000;112,042;;;
140805;0000;156,167;;;
140806;0000;48,2083;;;
140807;0000;62,5833;;;
140808;0000;57,8333;;;
140809;0000;45,0833;;;
140810;0000;31,4583;;;
140811;0000;62,5416;;;
140812;0000;43,8333;;;
140813;0000;46,4166;;;
140814;0000;57,625;;;
140815;0000;87,875;;;
140816;0000;76,1666;;;
140817;0000;56,9583;;;
140818;0000;82,3333;;;
140819;0000;118,042;;;
140820;0000;141,333;;;
140821;0000;153,167;;;
140822;0000;242,75;;;
140823;0000;155,333;;;
140824;0000;120,708;;;
140825;0000;121,696;;;
140826;0000;172,333;;;
140827;0000;212,5;;;
140828;0000;132,956;;;
140829;0000;161,917;;;
140830;0000;132,125;;;
140831;0000;123,083;;;
140901;0000;191,083;;;
140902;0000;138,667;;;
140903;0000;158,5;;;
140904;0000;131,739;;;
140905;0000;180,083;;;
140906;0000;45,125;;;
140907;0000;70,4166;;;
140908;0000;87,3333;;;
140909;0000;45,875;;;
140910;0000;44,9583;;;
140911;0000;38,125;;;
140912;0000;36,125;;;
140913;0000;37,0416;;;
140914;0000;25,2083;;;
140915;0000;30,4583;;;
140916;0000;24,7083;;;
140917;0000;29,2083;;;
140918;0000;38,3333;;;
140919;0000;71,2916;;;
140920;0000;86,7083;;;
140921;0000;53;;;
140922;0000;50;;;
140923;0000;49,1666;;;
140924;0000;53,75;;;
140925;0000;57,1304;;;
140926;0000;86,1666;;;
140927;0000;72,3333;;;
140928;0000;51,1666;;;
140929;0000;65,5;;;
140930;0000;84,0416;;;
141001;0000;128,125;;;
141002;0000;94,2916;;;
141003;0000;78,4583;;;
141004;0000;20,3333;;;
141005;0000;26,25;;;
141006;0000;34,7083;;;
141007;0000;61,2916;;;
141008;0000;50,3333;;;
141009;0000;37,5833;;;
141010;0000;32,0416;;;
141011;0000;30,4167;;;
141012;0000;33,875;;;
141013;0000;33,9583;;;
141014;0000;67,3333;;;
141015;0000;52,75;;;
141016;0000;40,5;;;
141017;0000;59,6666;;;
141018;0000;55,9166;;;
141019;0000;61,125;;;
141020;0000;51,7916;;;
141021;0000;44,5416;;;
141022;0000;42,1666;;;
141023;0000;34,1666;;;
141024;0000;16,7083;;;
141025;0000;15,375;;;
141026;0000;18,4167;;;
141027;0000;24,8261;;;
141028;0000;28,375;;;
141029;0000;46,9583;;;
141030;0000;46,125;;;
141031;0000;58,5833;;;
141101;0000;84,6727;;;
141102;0000;85,3193;;;
141103;0000;32,7141;;;
141104;0000;20,2242;;;
141105;0000;26,0229;;;
141106;0000;52,8386;;;
141107;0000;25,2945;;;
141108;0000;16,7169;;;
141109;0000;18,6927;;;
141110;0000;18,021;;;
141111;0000;23,9068;;;
141112;0000;23,8668;;;
141113;0000;13,3717;;;
141114;0000;12,4729;;;
141115;0000;14,6864;;;
141116;0000;11,3206;;;
141117;0000;25,5261;;;
141118;0000;22,3427;;;
141119;0000;23,7091;;;
141120;0000;22,9781;;;
141121;0000;20,4032;;;
141122;0000;19,0239;;;
141123;0000;18,0473;;;
141124;0000;19,0776;;;
141125;0000;16,4474;;;
141126;0000;21,2216;;;
141127;0000;19,4516;;;
141128;0000;32,9773;;;
